schema_version,trade_date,code,branch,signal_variant,observation_level,prepared_candidate,handler_reached,candidate_loop_reached,handler_eligible,branch_eligible,qualified_for_ranking,participated_in_ranking,selected_for_order,terminal_state,terminal_reason_code,fill_status,order_id,order_status,entry_price,entry_amount
0.3,2023-01-09,603367.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-09,002929.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-09,000560.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,600996.XSHG,YJJ,YJJ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,,,,,
0.3,2023-01-10,002646.XSHE,YJJ,YJJ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,,,,,
0.3,2023-01-10,601137.XSHG,YJJ,YJJ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,,,,,
0.3,2023-01-10,601216.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,600996.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,601137.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,002646.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,True,True,True,FILLED,FILLED,FULL,5,open,16.38,18700.0
0.3,2023-01-10,600477.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,002184.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,600563.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,002010.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_PRICE_RANGE_FILTER,,,,,
0.3,2023-01-10,002291.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-10,002234.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,000548.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,002997.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,002141.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-10,000526.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-11,000716.XSHE,YJJ,YJJ_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,,,,,
0.3,2023-01-11,000404.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-11,002915.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,603929.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-12,002875.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,600121.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,002045.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,603069.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,002104.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,601858.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,600212.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,600130.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,002454.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,002990.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-12,600189.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,False,,,False,False,False,SLOT_BLOCKED,BRANCH_SLOT_FULL,,,,,
0.3,2023-01-13,002651.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-13,600556.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-13,600973.XSHG,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-13,002952.XSHE,Scorpion,SCORPION_PREPARED,PREPARED_CANDIDATE,True,True,True,,,False,False,False,BRANCH_FILTERED,OPEN_RANGE_FILTER,,,,,
0.3,2023-01-13,002068.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-13,600556.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,True,True,True,FILLED,FILLED,FULL,7,open,7.29,41300.0
0.3,2023-01-13,600973.XSHG,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-13,002184.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,,,,,
0.3,2023-01-13,000025.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
0.3,2023-01-13,002368.XSHE,Auction,AUCTION_PREPARED,PREPARED_CANDIDATE,True,True,True,True,True,False,False,False,BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,,,,,
