date,available_cash,frozen_cash,positions_value,total_value,positions
2025-07-09,842820.6700000011,2.9103830456733704e-11,526212.0,1369032.670000001,"{'605177.XSHG': {'total_amount': 9000, 'avg_cost': 19.25, 'price': np.float64(19.17)}, '002721.XSHE': {'total_amount': 37300, 'avg_cost': 4.63, 'price': np.float64(4.9)}, '002612.XSHE': {'total_amount': 9800, 'avg_cost': 17.81, 'price': np.float64(17.44)}}"
2025-07-10,785849.6000000011,5.820766091346741e-11,601690.0,1387539.600000001,"{'605177.XSHG': {'total_amount': 9000, 'avg_cost': 19.25, 'price': np.float64(19.21)}, '000987.XSHE': {'total_amount': 53600, 'avg_cost': 7.84, 'price': np.float64(8.0)}}"
2025-07-11,14473.260000001173,5.820766091346741e-11,1401516.0,1415989.2600000012,"{'605177.XSHG': {'total_amount': 9000, 'avg_cost': 19.25, 'price': np.float64(19.12)}, '000987.XSHE': {'total_amount': 53600, 'avg_cost': 7.84, 'price': np.float64(7.84)}, '000702.XSHE': {'total_amount': 50900, 'avg_cost': 7.67, 'price': np.float64(8.48)}, '002902.XSHE': {'total_amount': 18600, 'avg_cost': 20.47, 'price': np.float64(20.3)}}"
2025-07-14,573972.8300000011,5.820766091346741e-11,793426.0,1367398.830000001,"{'000987.XSHE': {'total_amount': 53600, 'avg_cost': 7.84, 'price': np.float64(7.5)}, '002902.XSHE': {'total_amount': 18600, 'avg_cost': 20.47, 'price': np.float64(20.39)}, '002657.XSHE': {'total_amount': 400, 'avg_cost': 32.91, 'price': np.float64(30.43)}}"
2025-07-15,805841.3500000013,1.1641532182693481e-10,566928.0,1372769.3500000013,"{'600281.XSHG': {'total_amount': 74400, 'avg_cost': 7.52, 'price': np.float64(7.62)}}"
2025-07-16,23414.690000001225,1.1641532182693481e-10,1377688.0,1401102.6900000013,"{'600281.XSHG': {'total_amount': 74400, 'avg_cost': 7.52, 'price': np.float64(7.29)}, '002553.XSHE': {'total_amount': 33200, 'avg_cost': 23.56, 'price': np.float64(25.16)}}"
2025-07-17,876441.6400000013,1.1641532182693481e-10,576072.0,1452513.6400000013,"{'600281.XSHG': {'total_amount': 74400, 'avg_cost': 7.52, 'price': np.float64(7.43)}, '603275.XSHG': {'total_amount': 400, 'avg_cost': 54.11, 'price': np.float64(58.2)}}"
2025-07-18,575748.1500000013,1.1641532182693481e-10,908011.0,1483759.1500000013,"{'001339.XSHE': {'total_amount': 8000, 'avg_cost': 57.01, 'price': np.float64(55.65)}, '601208.XSHG': {'total_amount': 15500, 'avg_cost': 15.04, 'price': np.float64(15.26)}, '001389.XSHE': {'total_amount': 3300, 'avg_cost': 67.1, 'price': np.float64(68.57)}}"
2025-07-21,463949.3700000014,5.820766091346741e-11,1017350.0,1481299.3700000015,"{'001339.XSHE': {'total_amount': 8000, 'avg_cost': 57.01, 'price': np.float64(53.96)}, '001359.XSHE': {'total_amount': 4300, 'avg_cost': 44.85, 'price': np.float64(48.84)}, '603657.XSHG': {'total_amount': 5800, 'avg_cost': 32.05, 'price': np.float64(31.25)}, '603041.XSHG': {'total_amount': 15200, 'avg_cost': 12.71, 'price': np.float64(12.79)}}"
2025-07-22,1279565.6900000013,5.820766091346741e-11,190912.0,1470477.6900000013,"{'603041.XSHG': {'total_amount': 15200, 'avg_cost': 12.71, 'price': np.float64(12.56)}}"
2025-07-23,143072.3900000013,5.820766091346741e-11,1294953.0,1438025.3900000013,"{'601101.XSHG': {'total_amount': 55900, 'avg_cost': 8.22, 'price': np.float64(7.79)}, '000657.XSHE': {'total_amount': 27400, 'avg_cost': 16.0, 'price': np.float64(16.18)}, '600711.XSHG': {'total_amount': 54400, 'avg_cost': 7.85, 'price': np.float64(7.65)}}"
2025-07-24,1446942.1500000013,5.820766091346741e-11,0.0,1446942.1500000013,{}
2025-07-25,-13149.74999999872,1.1641532182693481e-10,1373932.0,1360782.2500000014,"{'000712.XSHE': {'total_amount': 29200, 'avg_cost': 15.22, 'price': np.float64(14.71)}, '002266.XSHE': {'total_amount': 236100, 'avg_cost': 4.3, 'price': np.float64(4.0)}}"
2025-07-28,901727.3600000014,1.1641532182693481e-10,422232.0,1323959.3600000013,"{'000712.XSHE': {'total_amount': 29200, 'avg_cost': 15.22, 'price': np.float64(14.46)}}"
