date,code,amount,avg_cost,price
2025-10-21,002490.XSHE,49700.0,7.18,7.74
2025-10-21,603028.XSHG,42400.0,8.26,8.48
2025-10-22,002004.XSHE,99200.0,5.1,5.08
2025-10-22,000905.XSHE,35300.0,9.79,9.59
2025-10-22,002490.XSHE,49700.0,7.18,8.51
2025-10-23,002004.XSHE,99200.0,5.1,4.98
2025-10-23,002490.XSHE,49700.0,7.18,9.36
2025-10-23,002115.XSHE,35400.0,12.14,12.16
2025-10-24,600172.XSHG,46900.0,7.54,6.96
2025-10-27,001379.XSHE,29100.0,22.7,22.94
2025-10-27,601611.XSHG,51000.0,13.23,13.93
2025-10-28,600801.XSHG,5000.0,22.45,21.77
2025-10-28,600513.XSHG,5400.0,20.41,20.49
2025-10-28,002138.XSHE,2600.0,41.83,41.45
2025-10-29,600801.XSHG,5000.0,22.45,21.77
2025-10-29,002138.XSHE,2600.0,41.83,40.65
2025-10-29,601326.XSHG,131100.0,4.02,3.84
2025-10-29,001287.XSHE,32400.0,27.34,27.68
2025-10-30,600801.XSHG,5000.0,22.45,21.37
2025-10-30,601326.XSHG,131100.0,4.02,3.93
2025-10-30,603232.XSHG,4200.0,22.74,25.69
2025-10-31,002044.XSHE,93300.0,5.54,5.63
2025-10-31,002386.XSHE,89700.0,5.81,5.82
2025-11-03,600637.XSHG,54200.0,10.01,10.67
2025-11-03,002163.XSHE,13900.0,12.86,14.37
2025-11-04,601929.XSHG,128800.0,4.21,4.48
2025-11-04,002555.XSHE,22900.0,23.41,23.44
2025-11-05,600897.XSHG,21000.0,17.54,17.28
2025-11-05,002112.XSHE,8700.0,14.48,16.01
2025-11-05,000777.XSHE,5200.0,24.09,23.84
2025-11-05,000892.XSHE,15500.0,8.07,8.15
2025-11-06,600506.XSHG,44200.0,25.68,28.58
2025-11-07,000620.XSHE,74000.0,3.44,3.16
2025-11-07,603306.XSHG,4700.0,52.3,52.1
2025-11-07,000686.XSHE,26200.0,9.42,9.27
2025-11-10,603306.XSHG,4700.0,52.3,51.85
2025-11-10,002544.XSHE,15100.0,28.79,27.42
