date,code,list_rank,bought,open_gap,candidate_relative_to_cohort,candidate_relative_to_market,sector_l1,sector_limit_up_count,sector_first_board_count,candidate_return_to_close,candidate_prev_is_limit_up,candidate_prev_is_first_board,candidate_prev_board_height,candidate_prev_return,T1_emotion_state_v1,T1_emotion_heat,T1_emotion_momentum,T1_emotion_stress,sector_broken_board_rate,sector_advance_ratio,sector_mean_return,sector_max_board_height,open_gap_rank,candidate_relative_to_cohort_rank,candidate_relative_to_market_rank,sector_limit_up_count_rank,composite_score,composite_rank
2024-02-21,002316.XSHE,15,False,0.014970117,0.013946091756224632,0.02296004,电力设备,12.0,5.0,-0.023598867,True,True,1.0,0.09868419915437698,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.14285714285714285,0.6493150684931507,0.012980897910892963,3.0,13.0,13.0,13.0,16.0,0.43434394582469027,11.0
2024-02-21,002354.XSHE,16,False,-0.0044742688,-0.005498293787240982,0.0035156538,基础化工,14.0,6.0,-0.013483134,True,True,1.0,0.10098518431186676,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2222222222222222,0.647450110864745,0.01286393590271473,4.0,31.0,31.0,31.0,10.0,0.1413061926215471,16.0
2024-02-21,002457.XSHE,17,False,-0.022813667,-0.02383769117295742,-0.014823744,电子,15.0,8.0,0.018158218,True,True,1.0,0.10041838139295578,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.11764705882352941,0.6418918918918919,0.012417703866958618,2.0,41.0,41.0,41.0,5.0,-0.19228440070536865,27.0
2024-02-21,002693.XSHE,18,False,0.026052129,0.025028103962540627,0.034042053,计算机,8.0,2.0,-0.019531231,True,True,1.0,0.0991189032793045,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.6871508379888268,0.013012334704399109,3.0,8.0,8.0,8.0,29.0,0.41675984760005785,12.0
2024-02-21,002735.XSHE,19,False,0.0011338128,0.00010978756472468376,0.009123735,,,,0.0033974783,True,True,1.0,0.09975052624940872,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,,,,,23.0,23.0,23.0,,-0.0330062016251746,20.0
2024-02-21,002742.XSHE,20,False,0.0,-0.001024025259539485,0.007989923,医药生物,10.0,6.0,0.023333311,True,True,1.0,0.04895108565688133,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.375,0.6477987421383647,0.013625879772007465,4.0,24.0,24.0,24.0,21.0,-0.019726043822835007,19.0
2024-02-21,002769.XSHE,21,False,-0.003623185,-0.004647210240364075,0.004366738,电力设备,12.0,5.0,0.10363639,True,True,1.0,0.09960159659385681,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.14285714285714285,0.6493150684931507,0.012980897910892963,3.0,30.0,30.0,30.0,16.0,0.030700162929258885,18.0
2024-02-21,002787.XSHE,22,False,0.034482725,0.03345869854092598,0.042472646,计算机,8.0,2.0,-0.013333321,True,True,1.0,0.10056930035352707,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.6871508379888268,0.013012334704399109,3.0,6.0,6.0,6.0,29.0,0.5997804769241556,8.0
2024-02-21,002907.XSHE,23,False,-0.019852974,-0.020876998081803322,-0.011863051,机械设备,18.0,6.0,0.011252785,True,True,1.0,0.10032368451356888,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.18181818181818182,0.6876190476190476,0.013882322236895561,3.0,38.0,38.0,38.0,1.0,0.06561298258173687,17.0
2024-02-21,002921.XSHE,24,False,0.0,-0.001024025259539485,0.007989923,计算机,8.0,2.0,0.030927828,True,True,1.0,0.10000003129243851,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.6871508379888268,0.013012334704399109,3.0,24.0,24.0,24.0,29.0,-0.14880832464064955,25.0
